"","RIN","offserv","latitude","longitude","Geolocation","officer_injury","subject_injury","subject_death","officer_used_weapon","officer_used_firearm","date","day","dayofweek","mon","yr","male","race","contact","command","org"
"68",170878,5,3115180,10070609,"302 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,5,10,0
"69",170915,3,3115180,10070609,"302 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,5,10,0
"70",171909,9,3111727,10055165,"701 WOODWARD ST",0,0,0,0,0,2016-02-17,17,"Wed","Feb",2016,1,3,3,7,0
"71",171866,4,3119484,10055306,"2504 HUNTWICK DR",0,1,0,0,0,2016-02-26,26,"Fri","Feb",2016,1,3,1,11,1
"72",172874,3,3115154,10070604,"300 E 6TH ST",0,0,0,0,0,2016-03-25,25,"Fri","Mar",2016,1,3,5,10,0
"73",172896,2,3115154,10070604,"300 E 6TH ST",0,0,0,0,0,2016-03-25,25,"Fri","Mar",2016,1,3,5,10,0
"74",172945,3,3115154,10070604,"300 E 6TH ST",0,0,0,0,0,2016-03-25,25,"Fri","Mar",2016,1,3,5,10,0
"75",174426,8,3103172,10033347,"333 E SLAUGHTER LN",0,0,0,0,0,2016-06-14,14,"Tue","Jun",2016,1,3,3,9,0
"76",176696,0,3119618,10057838,"1929 WILLOW CREEK DR",0,1,0,0,0,NA,NA,NA,NA,NA,0,3,1,11,1
"77",171568,6,3111727,10055165,"701 WOODWARD ST",0,1,0,1,2,2016-02-17,17,"Wed","Feb",2016,1,3,3,7,0
"78",171497,15,3111727,10055165,"701 WOODWARD ST",0,1,0,1,2,2016-02-17,17,"Wed","Feb",2016,1,3,3,7,0
"79",158655,4,3115841,10070419,"500 BLOCK E 6TH ST",0,0,0,0,0,2015-04-11,11,"Sat","Apr",2015,1,1,5,10,1
"80",158702,7,3115841,10070419,"500 BLOCK E 6TH ST",0,0,0,0,0,2015-04-11,11,"Sat","Apr",2015,1,1,5,10,1
"81",150741,4,3121798,10067890,"500 BLOCK ROBERT T MARTINEZ JR ST",1,1,0,1,1,2014-08-24,24,"Sun","Aug",2014,1,2,1,6,1
"82",151081,6,3103770,10043205,"100 BLOCK E WILLIAM CANNON DR",0,0,0,0,0,2014-08-29,29,"Fri","Aug",2014,1,2,4,9,1
"83",146108,4,3128657,10070368,"3608 THOMPSON ST",0,0,0,0,0,2014-04-13,13,"Sun","Apr",2014,1,2,1,6,1
"84",146700,5,3129997,10096983,"1030 NORWOOD PARK BLVD",1,0,0,1,4,2014-04-30,30,"Wed","Apr",2014,1,2,2,12,1
"85",152120,7,3127481,10078218,"3403 MANOR RD",0,0,0,1,3,2014-09-21,21,"Sun","Sep",2014,1,2,1,6,1
"86",157823,17,3115629,10070484,"412 E 6TH ST",0,0,0,1,0,2015-03-22,22,"Sun","Mar",2015,1,2,5,10,1
"87",159786,1,3135167,10113340,"11600 N IH 35 NB",0,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,8,1
"88",161321,3,3133388,10091038,"7227 E US 290 HWY SVRD EB",0,1,0,0,0,2015-05-31,31,"Sun","May",2015,1,2,1,12,1
"89",167506,7,3130514,10087448,"1905 GASTON PLACE DR",0,0,0,0,0,2015-10-17,17,"Sat","Oct",2015,0,2,1,12,1
"90",169427,8,3124845,10108482,"9600 GAMBELS QUAIL DR",0,0,0,0,0,2015-12-11,11,"Fri","Dec",2015,1,2,1,8,1
"91",172949,14,3136581,10075175,"5800 TECHNI CENTER DR",0,0,0,0,0,2016-03-28,28,"Mon","Mar",2016,1,2,1,6,1
"92",173464,6,3122413,10093232,"6419 AIRPORT BLVD",0,0,0,0,0,2016-04-12,12,"Tue","Apr",2016,1,2,1,12,1
"93",170619,2,3129737,10107910,"605 MASTERSON PASS",0,1,0,1,0,2016-01-26,26,"Tue","Jan",2016,1,2,1,8,1
"94",174823,11,3119729,10053927,"2900 SUNRIDGE DR",0,1,0,1,1,2016-07-18,18,"Mon","Jul",2016,1,2,1,11,0
"95",152025,6,3115491,10070521,"400 BLOCK E 6TH ST",0,1,0,1,0,2014-09-19,19,"Fri","Sep",2014,1,5,2,10,1
"96",152026,6,3115491,10070521,"400 BLOCK E 6TH ST",0,1,0,1,0,2014-09-19,19,"Fri","Sep",2014,1,5,2,10,1
"97",152027,6,3115491,10070521,"400 BLOCK E 6TH ST",0,1,0,1,0,2014-09-19,19,"Fri","Sep",2014,1,5,2,10,1
"98",152540,6,3109831,10070976,"1100 W CESAR CHAVEZ ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,5,1,5,1
"99",150441,2,3129997,10096983,"1030 NORWOOD PARK BLVD",0,1,0,1,1,2014-08-12,12,"Tue","Aug",2014,1,5,5,12,1
"100",145651,12,3115542,10070511,"404 E 6TH ST",0,1,0,0,0,2014-03-23,23,"Sun","Mar",2014,0,5,2,10,1
"101",145959,0,3104749,10050449,"5002 HEDGEWOOD DR",0,1,0,0,0,NA,NA,NA,NA,NA,1,5,1,7,1
"102",156642,17,3132058,10087522,"2100 BLOCK WHELESS LN",1,1,0,1,1,2015-02-20,20,"Fri","Feb",2015,1,5,1,12,1
"103",159284,2,3115491,10070521,"400 E 6TH ST",0,0,0,0,0,2015-04-24,24,"Fri","Apr",2015,1,5,2,10,1
"104",162565,4,3100711,10036282,"200 BLOCK RALPH ABLANEDO DR",0,1,0,1,1,2015-06-22,22,"Mon","Jun",2015,1,5,1,9,1
"105",168185,5,3115622,10070268,"419 E 6TH ST",1,0,0,0,0,NA,NA,NA,NA,NA,0,5,2,10,1
"106",177331,8,3119460,10119310,"11500 ROCK ROSE AVE",0,0,0,0,0,2016-12-17,17,"Sat","Dec",2016,1,5,5,3,1
"107",177360,17,3119460,10119310,"11500 ROCK ROSE AVE",0,0,0,0,0,2016-12-17,17,"Sat","Dec",2016,1,5,5,3,1
"108",144072,1,3122717,10083811,"4508 N IH 35 SVRD SB",0,0,0,0,0,2014-02-22,22,"Sat","Feb",2014,0,5,1,5,1
"109",152028,6,3115491,10070521,"400 BLOCK E 6TH ST",0,0,0,1,0,2014-09-19,19,"Fri","Sep",2014,1,0,2,10,1
"110",154720,13,3102347,10062570,"2121 DICKSON DR",0,0,0,1,0,NA,NA,NA,NA,NA,1,0,1,7,1
"111",168367,3,3115155,10070604,"300 E 6TH ST",0,0,0,1,0,NA,NA,NA,NA,NA,1,0,5,10,1
"112",169844,4,3107390,10073098,"1624 W 5TH ST",0,1,0,0,0,2015-12-21,21,"Mon","Dec",2015,1,0,1,5,2
"113",159261,5,3123698,10058703,"1500 FARO DR",0,0,0,0,0,2015-04-23,23,"Thu","Apr",2015,1,3,1,11,1
"114",175672,25,3131290,10101667,"8900 NORTH PLZ",1,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,8,0
"115",175729,13,3131290,10101667,"8900 NORTH PLZ",1,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,8,0
"116",175748,1,3131290,10101667,"8900 NORTH PLZ",0,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,8,1
"117",177195,5,3128694,10106147,"9515 N LAMAR BLVD",0,0,0,0,0,2016-12-12,12,"Mon","Dec",2016,0,3,1,8,1
"118",158963,2,3122324,10120703,"11900 HOBBY HORSE CT",0,1,0,0,0,2015-04-17,17,"Fri","Apr",2015,1,2,1,3,1
"119",159105,5,3122324,10120703,"11900 HOBBY HORSE CT",0,1,0,1,2,2015-04-17,17,"Fri","Apr",2015,1,2,1,3,1
"120",161505,3,3115491,10070521,"400 BLOCK E 6TH ST",0,1,0,0,0,NA,NA,NA,NA,NA,0,2,5,10,1
"121",145448,5,3107587,10064956,"1500 S LAMAR BLVD",0,1,0,0,0,2014-02-18,18,"Tue","Feb",2014,0,5,1,7,1
"122",155221,1,3125779,10091257,"6121 N IH 35 SVRD NB",0,0,0,0,0,2015-01-23,23,"Fri","Jan",2015,1,5,2,12,1
"123",176827,0,3107407,10041839,"1700 E WILLIAM CANNON DR",0,0,0,0,0,2016-11-13,13,"Sun","Nov",2016,1,5,1,9,1
"124",160981,7,3115491,10070521,"400 BLOCK E 6TH ST",0,1,0,1,0,2015-05-23,23,"Sat","May",2015,1,0,5,10,1
"125",149383,1,3112757,10043660,"PALO BLANCO LN / E STASSNEY LN",0,0,0,0,0,2014-07-10,10,"Thu","Jul",2014,1,3,4,9,1
"126",144371,5,3085723,10048179,"7513 ST AMANT PL",1,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,7,1
"127",174930,5,3135340,10128339,"13700 N IH 35 SVRD SB",0,0,0,0,0,2016-07-21,21,"Thu","Jul",2016,1,3,1,8,1
"128",176215,5,3112163,10084523,"3501 MILLS AVE",1,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,5,1
"129",176350,22,3112163,10084523,"3501 MILLS AVE",0,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,5,1
"130",172603,6,3115730,10070453,"422 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,0,2,10,0
"131",172648,3,3115730,10070453,"422 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,0,2,10,0
"132",172866,3,3115730,10070453,"422 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,0,2,10,0
"133",156102,2,3115491,10070521,"400 BLOCK E 6TH ST",0,0,0,0,0,2015-02-11,11,"Wed","Feb",2015,1,5,5,10,1
"134",168643,14,3114212,10070908,"600 BLOCK CONGRESS AVE",0,0,0,1,1,2015-11-23,23,"Mon","Nov",2015,1,5,2,10,0
"135",168662,10,3114212,10070908,"600 BLOCK CONGRESS AVE",0,0,0,0,0,2015-11-23,23,"Mon","Nov",2015,1,5,5,10,1
"136",170199,22,3115155,10070604,"300 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,5,2,10,0
"137",176478,1,3123763,10085648,"4916 N IH 35 SVRD SB",0,1,0,0,0,2016-10-25,25,"Tue","Oct",2016,1,5,1,5,1
"138",176531,2,3123763,10085648,"4916 N IH 35 SVRD SB",0,1,0,0,0,2016-10-25,25,"Tue","Oct",2016,1,5,1,5,1
"139",176646,2,3123763,10085648,"4916 N IH 35 SVRD SB",0,1,0,0,0,2016-10-25,25,"Tue","Oct",2016,1,5,1,5,1
"140",176593,1,3156637,10097784,"7800 BLUE GOOSE RD",0,1,0,0,0,2016-10-30,30,"Sun","Oct",2016,1,5,1,6,1
"141",144374,1,3085723,10048179,"7513 ST AMANT PL",0,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,7,1
"142",144389,1,3085723,10048179,"7513 ST AMANT PL",0,1,0,1,3,NA,NA,NA,NA,NA,1,3,1,7,1
"143",161101,0,3126378,10097710,"500 E ANDERSON LN EB",0,0,0,0,0,2015-05-25,25,"Mon","May",2015,1,3,1,12,1
"144",161542,8,3115292,10070580,"314 E 6TH ST",0,1,0,1,3,NA,NA,NA,NA,NA,1,2,2,10,1
"145",174928,5,3119729,10053927,"2900 SUNRIDGE DR",0,1,0,0,0,2016-07-18,18,"Mon","Jul",2016,1,2,1,11,1
"146",174986,8,3119729,10053927,"2900 SUNRIDGE DR",0,1,0,0,0,2016-07-18,18,"Mon","Jul",2016,1,2,1,11,2
"147",149222,7,3115155,10070604,"300 BLOCK E 6TH ST",0,0,0,1,1,NA,NA,NA,NA,NA,1,5,2,10,1
"148",150642,8,3134231,10124161,"12900 N IH 35 SVRD SB",0,1,0,0,0,2014-08-20,20,"Wed","Aug",2014,0,5,2,8,4
"149",166956,3,3115687,10070155,"500 BLOCK NECHES ST",0,0,0,1,0,NA,NA,NA,NA,NA,1,0,5,10,1
"150",166957,3,3115687,10070155,"500 BLOCK NECHES ST",0,0,0,1,0,NA,NA,NA,NA,NA,1,0,5,10,1
"151",148245,5,3134231,10124161,"12900 N IH 35 SVRD SB",0,0,0,1,1,NA,NA,NA,NA,NA,1,3,5,8,1
"152",149779,12,3096930,10037769,"8528 CORNWALL DR",0,1,0,0,0,2014-07-23,23,"Wed","Jul",2014,1,3,1,9,1
"153",144828,4,3115403,10070458,"600 TRINITY ST",0,1,0,0,0,2014-03-15,15,"Sat","Mar",2014,0,3,5,10,1
"154",171057,4,3130704,10104509,"9420 N IH 35 SVRD SB",0,1,0,1,1,NA,NA,NA,NA,NA,1,3,1,8,1
"155",141988,1,3119160,10119859,"11601 DOMAIN DR",0,0,0,1,1,NA,NA,NA,NA,NA,1,1,1,3,1
"156",161561,7,3115491,10070521,"400 BLOCK E 6TH ST",1,1,0,1,1,NA,NA,NA,NA,NA,0,2,2,10,1
"157",161562,5,3115491,10070521,"400 BLOCK E 6TH ST",1,1,0,0,0,NA,NA,NA,NA,NA,0,2,5,10,1
"158",163182,12,3128212,10089771,"6200 CAMERON RD",0,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,12,1
"159",145828,2,3115630,10071097,"E 8TH ST / TRINITY ST",1,0,0,0,0,NA,NA,NA,NA,NA,1,5,1,10,1
"160",154102,2,3112558,10071578,"616 NUECES ST",0,0,0,0,0,2014-12-13,13,"Sat","Dec",2014,1,5,1,10,1
"161",160801,13,3124636,10124176,"12221 N MOPAC EXPY SVRD NB",0,0,0,0,0,2015-05-22,22,"Fri","May",2015,0,5,1,3,1
"162",144817,12,3115566,10070504,"406 E 6TH ST",0,1,0,1,0,2014-03-17,17,"Mon","Mar",2014,1,3,5,10,1
"163",149274,2,3130926,10087173,"1941 GASTON PLACE DR",0,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,12,1
"164",144893,9,3115566,10070504,"406 E 6TH ST",0,1,0,1,0,2014-03-17,17,"Mon","Mar",2014,1,3,5,10,1
"165",144818,12,3115566,10070504,"406 E 6TH ST",0,0,0,0,0,2014-03-17,17,"Mon","Mar",2014,1,3,5,10,1
"166",161384,3,3095818,10042304,"7602 WYNNE LN",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,1,9,1
"167",170907,12,3121189,10087242,"5000 BLOCK EVANS AVE",0,0,0,0,0,2016-01-31,31,"Sun","Jan",2016,0,3,1,5,1
"168",175077,2,3115265,10070399,"317 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,5,10,0
"169",176359,22,3115836,10070204,"505 E 6TH ST",0,0,0,0,0,2016-10-15,15,"Sat","Oct",2016,1,3,2,10,0
"170",144831,7,3115566,10070504,"406 E 6TH ST",0,0,0,0,0,2014-03-17,17,"Mon","Mar",2014,1,2,5,10,1
"171",144891,4,3115566,10070504,"406 E 6TH ST",0,1,0,1,0,2014-03-17,17,"Mon","Mar",2014,1,2,5,10,1
"172",144832,7,3115566,10070504,"406 E 6TH ST",0,1,0,0,0,2014-03-17,17,"Mon","Mar",2014,1,2,5,10,1
"173",144890,4,3115566,10070504,"406 E 6TH ST",0,1,0,1,0,2014-03-17,17,"Mon","Mar",2014,1,2,5,10,1
"174",144892,9,3115566,10070504,"406 E 6TH ST",0,1,0,1,0,2014-03-17,17,"Mon","Mar",2014,1,2,5,10,1
"175",163962,5,3115535,10070296,"409 E 6TH ST",0,1,0,1,0,2015-07-25,25,"Sat","Jul",2015,1,2,5,10,4
"176",171990,4,3121531,10055852,"2430 CROMWELL CIR",0,1,0,0,0,NA,NA,NA,NA,NA,1,2,1,11,1
"177",151457,4,3112129,10071521,"700 W 6TH ST",0,1,0,1,0,NA,NA,NA,NA,NA,1,0,5,10,1
"178",144269,12,3115491,10070521,"400 BLOCK E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,5,5,10,1
"179",144292,11,3115491,10070521,"400 BLOCK E 6TH ST",0,1,0,0,0,NA,NA,NA,NA,NA,1,5,5,10,1
"180",153164,6,3100785,10133410,"13145 N US 183 HWY SVRD NB",0,1,0,0,0,NA,NA,NA,NA,NA,0,5,1,3,1
"181",146043,0,3110411,10065360,"800 W JAMES ST",0,0,0,0,0,2014-04-10,10,"Thu","Apr",2014,1,5,1,7,1
"182",144897,16,3115403,10070458,"600 TRINITY ST",0,1,0,0,0,2014-03-15,15,"Sat","Mar",2014,0,5,5,10,1
"183",167462,5,3134101,10084787,"5809 SWEENEY CIR",0,0,0,1,1,2015-10-15,15,"Thu","Oct",2015,1,0,1,12,1
"184",150181,2,3119388,10108531,"9000 RESEARCH BLVD SVRD SB",0,0,0,0,0,2014-07-22,22,"Tue","Jul",2014,1,3,1,12,1
"185",160804,2,3115491,10070521,"400 BLOCK E 6TH ST",0,0,0,0,0,2015-05-23,23,"Sat","May",2015,1,3,5,10,1
"186",161302,0,3121438,10109116,"1930 W RUNDBERG LN",0,1,0,1,1,NA,NA,NA,NA,NA,1,3,1,8,1
"187",161322,2,3121438,10109116,"1930 W RUNDBERG LN",0,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,8,1
"188",164903,8,3115140,10070195,"310 E 5TH ST",0,0,0,0,0,2015-08-17,17,"Mon","Aug",2015,1,3,1,10,1
"189",164921,3,3115140,10070195,"310 E 5TH ST",0,0,0,0,0,2015-08-17,17,"Mon","Aug",2015,1,3,1,10,1
"190",168214,6,3121245,10104948,"8600 RESEARCH BLVD SB",0,1,0,1,0,NA,NA,NA,NA,NA,1,3,1,12,1
"191",172001,2,3087616,10026989,"11705 ALEXS LN",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,1,9,1
"192",174332,12,3115491,10070521,"400 BLOCK E 6TH ST",1,1,0,0,0,2016-06-12,12,"Sun","Jun",2016,1,3,5,10,0
"193",142319,3,3115841,10070419,"500 E 6TH ST",1,0,0,0,0,2014-01-10,10,"Fri","Jan",2014,1,2,5,10,1
"194",174268,3,3115154,10070604,"300 E 6TH ST",0,0,0,0,0,2016-05-21,21,"Sat","May",2016,1,2,5,10,0
"195",170021,3,3115292,10070580,"314 E 6TH ST",0,0,0,1,1,NA,NA,NA,NA,NA,1,2,5,10,0
"196",170077,3,3115292,10070580,"314 E 6TH ST",0,1,0,1,1,NA,NA,NA,NA,NA,1,2,5,10,1
"197",174085,2,3115154,10070604,"300 E 6TH ST",0,0,0,1,0,2016-05-21,21,"Sat","May",2016,1,2,5,10,0
"198",174152,3,3115154,10070604,"300 E 6TH ST",0,0,0,1,0,2016-05-21,21,"Sat","May",2016,1,2,5,10,0
"199",174567,2,3115154,10070604,"300 E 6TH ST",0,0,0,1,0,2016-05-21,21,"Sat","May",2016,1,2,5,10,0
